Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.6928		1.2223		0.0000		0.1879		0.00050150
2		1.0680		0.9897		0.0000		0.2294		0.00050000
3		0.9349		0.9381		0.0000		0.2311		0.00049850
4		0.8481		0.8919		0.0000		0.2560		0.00049700
5		0.7963		0.7955		0.0000		0.2775		0.00049550
6		0.7584		0.7520		0.0000		0.2871		0.00049400
7		0.7180		0.7220		0.0000		0.2915		0.00049249
8		0.6907		0.6961		0.0000		0.2997		0.00049099
9		0.6620		0.6655		0.0000		0.3224		0.00048949
10		0.6371		0.6363		0.0000		0.3381		0.00048798
11		0.6108		0.6393		0.0000		0.3463		0.00048648
12		0.5947		0.6268		0.0000		0.3541		0.00048497
13		0.5731		0.6357		0.0000		0.3559		0.00048347
14		0.5654		0.6120		0.0000		0.3744		0.00048196
15		0.5485		0.6448		0.0000		0.3668		0.00048046
16		0.5369		0.5636		0.0000		0.3966		0.00047895
17		0.5297		0.5720		0.0000		0.4029		0.00047744
18		0.5177		0.5679		0.0000		0.4029		0.00047593
19		0.5056		0.5578		0.0000		0.4053		0.00047443
20		0.4940		0.5150		0.0000		0.4357		0.00047292
21		0.4942		0.5281		0.0000		0.4267		0.00047141
22		0.4812		0.5393		0.0000		0.4254		0.00046990
23		0.4735		0.5131		0.0000		0.4287		0.00046839
24		0.4744		0.5354		0.0000		0.4239		0.00046688
25		0.4632		0.5029		0.0000		0.4452		0.00046536
26		0.4566		0.4974		0.0000		0.4452		0.00046385
27		0.4552		0.4988		0.0000		0.4544		0.00046234
28		0.4483		0.4927		0.0000		0.4567		0.00046083
29		0.4364		0.4972		0.0000		0.4573		0.00045931
30		0.4407		0.4828		0.0000		0.4633		0.00045780
31		0.4297		0.4769		0.0000		0.4709		0.00045628
32		0.4368		0.4858		0.0000		0.4587		0.00045477
33		0.4232		0.4691		0.0000		0.4748		0.00045325
34		0.4135		0.4890		0.0000		0.4671		0.00045173
35		0.4169		0.4691		0.0000		0.4816		0.00045022
36		0.4123		0.4878		0.0000		0.4787		0.00044870
37		0.4089		0.4704		0.0000		0.4814		0.00044718
38		0.4076		0.4741		0.0000		0.4790		0.00044566
39		0.4053		0.4753		0.0000		0.4814		0.00044414
40		0.3964		0.4622		0.0000		0.4934		0.00044262
41		0.3965		0.4601		0.0000		0.4991		0.00044110
42		0.3886		0.4675		0.0000		0.4896		0.00043958
43		0.3883		0.4691		0.0000		0.4870		0.00043806
44		0.3857		0.4636		0.0000		0.4983		0.00043653
45		0.3823		0.4417		0.0000		0.5049		0.00043501
46		0.3832		0.4645		0.0000		0.4927		0.00043349
47		0.3756		0.4616		0.0000		0.4966		0.00043196
48		0.3731		0.4572		0.0000		0.4979		0.00043044
49		0.3781		0.5069		0.0000		0.4872		0.00042891
