Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.8907		1.1285		0.0000		0.2128		0.00050749
1		1.3782		0.8641		0.0000		0.2509		0.00050749
1		1.6077		1.0580		0.0000		0.2250		0.00050749
2		0.7759		0.6320		0.0000		0.3615		0.00050000
3		0.5224		0.4954		0.0000		0.4220		0.00049249
4		0.4423		0.4494		0.0000		0.4889		0.00048497
5		0.3973		0.4191		0.0000		0.4998		0.00047744
6		0.3626		0.4028		0.0000		0.5337		0.00046990
1		1.3143		0.7790		0.0000		0.2771		0.00050749
2		0.6557		0.6427		0.0000		0.3284		0.00050000
3		0.5274		0.5211		0.0000		0.4184		0.00049249
4		0.4490		0.4500		0.0000		0.4466		0.00048497
5		0.4023		0.4320		0.0000		0.4850		0.00047744
6		0.3732		0.3952		0.0000		0.5057		0.00046990
7		0.3458		0.3860		0.0000		0.5328		0.00046234
8		0.3385		0.3813		0.0000		0.5344		0.00045477
9		0.3207		0.3837		0.0000		0.5622		0.00044718
10		0.3115		0.3557		0.0000		0.5763		0.00043958
11		0.3058		0.3680		0.0000		0.5508		0.00043196
12		0.3009		0.3535		0.0000		0.5793		0.00042433
13		0.2944		0.3576		0.0000		0.5813		0.00041669
14		0.2958		0.3439		0.0000		0.5734		0.00040903
15		0.2787		0.3560		0.0000		0.5519		0.00040135
16		0.2809		0.3538		0.0000		0.5895		0.00039366
17		0.2691		0.3449		0.0000		0.6021		0.00038594
18		0.2774		0.3289		0.0000		0.6174		0.00037822
19		0.2565		0.3341		0.0000		0.6062		0.00037047
20		0.2617		0.3340		0.0000		0.6096		0.00036271
21		0.2471		0.3381		0.0000		0.6269		0.00035493
22		0.2642		0.3414		0.0000		0.6034		0.00034713
23		0.2423		0.3279		0.0000		0.6315		0.00033931
24		0.2466		0.3356		0.0000		0.6103		0.00033147
25		0.2371		0.3277		0.0000		0.6407		0.00032361
26		0.2277		0.3272		0.0000		0.6288		0.00031572
27		0.2312		0.3175		0.0000		0.6533		0.00030782
28		0.2316		0.3359		0.0000		0.6384		0.00029989
29		0.2315		0.3221		0.0000		0.6390		0.00029194
30		0.2156		0.3147		0.0000		0.6562		0.00028397
31		0.2157		0.3190		0.0000		0.6429		0.00027597
32		0.2134		0.3201		0.0000		0.6394		0.00026794
33		0.2130		0.3114		0.0000		0.6544		0.00025989
34		0.2038		0.3227		0.0000		0.6665		0.00025181
35		0.2035		0.3260		0.0000		0.6659		0.00024370
36		0.1974		0.3172		0.0000		0.6769		0.00023556
37		0.1961		0.3330		0.0000		0.6410		0.00022739
38		0.2104		0.3113		0.0000		0.6560		0.00021919
39		0.2013		0.3063		0.0000		0.6856		0.00021095
40		0.1855		0.3143		0.0000		0.6783		0.00020268
41		0.1956		0.3002		0.0000		0.6876		0.00019437
42		0.1840		0.3117		0.0000		0.6923		0.00018602
43		0.1819		0.3043		0.0000		0.6928		0.00017763
44		0.1781		0.3180		0.0000		0.6466		0.00016919
45		0.1765		0.3106		0.0000		0.6892		0.00016071
46		0.1724		0.3041		0.0000		0.7002		0.00015217
47		0.1696		0.3124		0.0000		0.6708		0.00014359
48		0.1668		0.3088		0.0000		0.7049		0.00013494
49		0.1707		0.3159		0.0000		0.6973		0.00012624
50		0.1675		0.3174		0.0000		0.6836		0.00011746
51		0.1621		0.3115		0.0000		0.6999		0.00010861
52		0.1602		0.3034		0.0000		0.7028		0.00009969
53		0.1634		0.3172		0.0000		0.6982		0.00009067
54		0.1559		0.3184		0.0000		0.6972		0.00008155
55		0.1537		0.3140		0.0000		0.7065		0.00007231
56		0.1520		0.3125		0.0000		0.7110		0.00006295
57		0.1506		0.3156		0.0000		0.7092		0.00005342
58		0.1483		0.3189		0.0000		0.7117		0.00004370
59		0.1467		0.3165		0.0000		0.7093		0.00003373
60		0.1454		0.3163		0.0000		0.7122		0.00002342
